,game_id,player_id,team_id,timeOnIce,assists,goals,pim,shots,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShotsAgainst,evenShotsAgainst,powerPlayShotsAgainst,savePercentage,powerPlaySavePercentage,evenStrengthSavePercentage
2,2016020045,8470645,16,3598,0,0,0,27,23,2,0,21,0,23,4,85.1851851851852,50.0,91.304347826087
32,2016020107,8470645,16,3608,0,0,0,32,30,4,0,26,0,27,5,93.75,80.0,96.2962962962963
179,2017021255,8475234,16,3496,0,0,0,34,31,4,0,27,0,30,4,91.1764705882353,100.0,90.0
189,2017021010,8475234,16,1640,0,0,0,10,8,0,0,8,0,10,0,80.0,0.0,80.0
190,2017021010,8476341,16,1823,0,0,0,21,17,0,1,16,1,19,1,80.9523809523809,0.0,84.2105263157895
204,2016020889,8470645,16,3600,0,0,0,32,29,3,0,26,0,27,5,90.625,60.0,96.2962962962963
310,2015020954,8474152,16,3395,0,0,0,25,21,0,0,21,0,24,1,84.0,0.0,87.5
346,2016020634,8470645,16,2891,0,0,0,30,25,0,4,21,4,26,0,83.3333333333333,0.0,80.7692307692308
347,2016020634,8474152,16,709,0,0,0,4,3,0,0,3,0,4,0,75.0,0.0,75.0
372,2015020170,8470645,16,3600,0,0,0,35,33,6,0,27,0,29,6,94.2857142857143,100.0,93.1034482758621
375,2015020768,8470645,16,3867,0,0,0,28,24,9,0,15,0,17,11,85.7142857142857,81.8181818181818,88.2352941176471
413,2016020801,8470645,16,3789,0,0,0,38,35,3,0,32,0,35,3,92.1052631578947,100.0,91.4285714285714
463,2015020002,8470645,16,3495,0,0,0,27,24,0,0,24,0,27,0,88.8888888888889,0.0,88.8888888888889
491,2015020832,8470645,16,3736,0,0,0,44,41,6,0,35,0,37,7,93.1818181818182,85.7142857142857,94.5945945945946
524,2015020047,8470645,16,3600,0,0,0,29,26,4,1,21,1,23,5,89.6551724137931,80.0,91.304347826087
551,2015020581,8470645,16,3575,0,0,0,26,26,2,0,24,0,24,2,100.0,100.0,100.0
608,2016020178,8474152,16,3870,0,0,0,35,32,7,1,24,2,25,8,91.4285714285714,87.5,96.0
623,2016020139,8470645,16,3600,0,0,0,34,33,5,1,27,2,27,5,97.0588235294118,100.0,100.0
638,2015020425,8474152,16,3465,0,0,0,33,29,0,0,29,0,32,1,87.8787878787879,0.0,90.625
688,2015021096,8468038,16,2369,0,0,0,17,16,5,0,11,0,12,5,94.1176470588235,100.0,91.6666666666667
689,2015021096,8474152,16,1191,0,0,0,15,11,1,0,10,1,12,2,73.3333333333333,50.0,83.3333333333333
735,2016021067,8474152,16,3600,0,0,0,25,22,0,0,22,0,25,0,88.0,0.0,88.0
739,2015020639,8470645,16,3600,0,0,0,43,41,7,1,33,1,34,8,95.3488372093023,87.5,97.0588235294118
806,2015020752,8470645,16,3600,0,0,0,23,22,4,1,17,1,18,4,95.6521739130435,100.0,94.4444444444444
861,2016020361,8474152,16,3508,0,0,0,30,27,5,0,22,0,25,5,90.0,100.0,88.0
879,2016021042,8474152,16,3592,0,0,0,34,33,5,0,28,0,28,6,97.0588235294118,83.3333333333333,100.0
945,2016020917,8474152,16,3566,0,0,0,32,30,0,0,30,0,31,1,93.75,0.0,96.7741935483871
1001,2016020959,8470645,16,3600,0,0,0,35,32,6,0,26,0,29,6,91.4285714285714,100.0,89.6551724137931
1012,2017021040,8475234,16,3447,0,0,0,40,37,3,1,33,1,35,4,92.5,75.0,94.2857142857143
1032,2015020560,8474152,16,3787,0,0,0,30,27,1,2,24,2,26,2,90.0,50.0,92.3076923076923
1047,2015020911,8470645,16,3516,0,0,0,31,29,1,0,28,0,30,1,93.5483870967742,100.0,93.3333333333333
1050,2015020142,8470645,16,3421,0,0,0,31,28,4,0,24,0,26,5,90.3225806451613,80.0,92.3076923076923
1073,2017020181,8470645,16,3591,0,0,0,35,35,8,0,27,0,27,8,100.0,100.0,100.0
1086,2017021239,8475234,16,3600,0,0,0,34,31,5,1,25,1,28,5,91.1764705882353,100.0,89.2857142857143
1097,2016021152,8470645,16,3600,0,0,0,33,32,9,1,22,1,23,9,96.969696969697,100.0,95.6521739130435
1099,2015020238,8470645,16,3505,0,0,0,22,19,2,1,16,1,18,3,86.3636363636364,66.6666666666667,88.8888888888889
1142,2015020052,8474152,16,3600,0,0,0,24,20,1,0,19,0,22,2,83.3333333333333,50.0,86.3636363636364
1155,2017020718,8471301,16,1088,0,0,0,11,9,0,0,9,0,11,0,81.8181818181818,0.0,81.8181818181818
1156,2017020718,8476341,16,2512,0,0,0,35,30,8,0,22,0,25,10,85.7142857142857,80.0,88.0
1187,2015020884,8470645,16,2400,0,0,2,23,19,7,0,12,0,15,8,82.6086956521739,87.5,80.0
1188,2015020884,8474152,16,1157,0,0,0,9,8,1,0,7,0,8,1,88.8888888888889,100.0,87.5
1221,2017020821,8471301,16,3494,0,0,0,22,20,5,2,13,2,15,5,90.9090909090909,100.0,86.6666666666667
1319,2016020587,8474152,16,3600,0,0,0,40,39,11,1,27,1,28,11,97.5,100.0,96.4285714285714
1331,2016020299,8470645,16,3508,0,0,0,35,33,5,0,28,1,28,6,94.2857142857143,83.3333333333333,100.0
1337,2016020433,8474152,16,3600,0,0,0,34,33,0,0,33,0,34,0,97.0588235294118,0.0,97.0588235294118
1409,2015021126,8474152,16,3600,0,0,0,32,31,7,1,23,1,24,7,96.875,100.0,95.8333333333333
1446,2016020537,8470645,16,3600,0,0,0,38,36,7,3,26,3,27,8,94.7368421052632,87.5,96.2962962962963
1462,2017020054,8470645,16,3578,0,0,0,32,29,4,0,25,0,27,5,90.625,80.0,92.5925925925926
1476,2016021188,8474152,16,3716,0,0,0,51,47,8,3,36,5,38,8,92.156862745098,100.0,94.7368421052632
1479,2016020072,8474152,16,3857,0,0,0,34,30,2,2,26,2,29,3,88.2352941176471,66.6666666666667,89.6551724137931
