,game_id,player_id,team_id,timeOnIce,assists,goals,shots,hits,powerPlayGoals,powerPlayAssists,penaltyMinutes,faceOffWins,faceoffTaken,takeaways,giveaways,shortHandedGoals,shortHandedAssists,blocked,plusMinus,evenTimeOnIce,shortHandedTimeOnIce,powerPlayTimeOnIce
18,2016020045,8466148,16,723,0,1,2,0.0,1,0,0,0,0,0.0,0.0,0,0,1.0,0,499,128,96
19,2016020045,8471769,16,1241,0,0,1,0.0,0,0,0,0,0,0.0,2.0,0,0,1.0,0,1010,224,7
20,2016020045,8477929,16,652,0,1,1,0.0,0,0,0,0,0,2.0,1.0,0,0,1.0,1,547,105,0
21,2016020045,8466285,16,1068,1,0,0,1.0,0,1,0,0,0,0.0,2.0,0,0,0.0,1,972,0,96
22,2016020045,8470607,16,1294,3,0,0,2.0,0,1,0,0,0,0.0,3.0,0,0,1.0,2,1030,114,150
23,2016020045,8475209,16,862,0,0,0,3.0,0,0,0,0,0,1.0,1.0,0,0,0.0,-1,766,0,96
24,2016020045,8473604,16,1118,0,0,2,2.0,0,0,0,15,23,0.0,0.0,0,0,0.0,-1,808,192,118
25,2016020045,8470281,16,1395,1,0,3,1.0,0,1,0,0,0,0.0,1.0,0,0,2.0,0,1019,222,154
26,2016020045,8474141,16,1212,3,1,6,1.0,0,0,2,0,2,1.0,0.0,0,0,0.0,3,1058,0,154
27,2016020045,8476994,16,734,0,0,0,1.0,0,0,0,0,0,1.0,0.0,0,0,1.0,0,734,0,0
28,2016020045,8477951,16,725,0,0,0,0.0,0,0,0,3,10,1.0,1.0,0,0,0.0,0,725,0,0
29,2016020045,8475323,16,779,0,0,0,2.0,0,0,0,6,9,0.0,0.0,0,0,0.0,2,607,156,16
30,2016020045,8473573,16,1113,2,2,3,0.0,0,1,0,4,13,0.0,0.0,0,0,0.0,3,923,74,116
31,2016020045,8478055,16,1125,0,0,0,3.0,0,0,0,0,0,0.0,1.0,0,0,1.0,1,1032,0,93
32,2016020045,8478550,16,1163,1,2,4,0.0,1,0,0,0,0,2.0,2.0,0,0,0.0,2,1009,0,154
33,2016020045,8477353,16,800,0,0,3,1.0,0,0,4,0,0,0.0,0.0,0,0,1.0,-1,779,21,0
34,2016020045,8479482,16,1077,0,0,2,3.0,0,0,2,0,0,0.0,2.0,0,0,0.0,2,961,116,0
35,2016020045,8469547,16,583,0,0,1,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,583,0,0
540,2016020107,8466148,16,1011,0,1,4,1.0,1,0,0,1,1,1.0,0.0,0,0,0.0,-1,694,142,175
541,2016020107,8471769,16,1312,0,0,1,0.0,0,0,0,0,0,0.0,0.0,0,0,2.0,-1,1040,272,0
542,2016020107,8465058,16,869,0,0,1,4.0,0,0,0,0,0,0.0,0.0,0,0,1.0,0,679,190,0
543,2016020107,8477929,16,695,0,0,1,2.0,0,0,0,1,1,0.0,0.0,0,0,0.0,0,521,174,0
544,2016020107,8466285,16,1261,0,0,1,1.0,0,0,0,0,0,0.0,1.0,0,0,1.0,-1,1068,13,180
545,2016020107,8470607,16,1401,1,0,0,3.0,0,1,0,0,0,1.0,1.0,0,0,0.0,0,845,266,290
546,2016020107,8475209,16,1027,1,0,0,3.0,0,1,0,0,0,1.0,0.0,0,0,0.0,-1,852,0,175
547,2016020107,8473604,16,1368,1,0,2,0.0,0,1,0,17,26,0.0,1.0,0,0,0.0,0,952,197,219
548,2016020107,8470281,16,1437,1,0,4,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,951,197,289
549,2016020107,8474141,16,1414,1,0,5,1.0,0,1,2,0,0,0.0,0.0,0,0,0.0,0,1100,5,309
