,player_id,firstName,lastName,nationality,birthCity,primaryPosition,birthDate,height,height_cm,weight,shootsCatches
0,8466148,Marian,Hossa,SVK,Stará Lubovna,RW,1979-01-12 00:00:00,"6' 1""",185.42,207.0,L
1,8465058,Michal,Rozsival,CZE,Vlasim,D,1978-09-03 01:00:00,"6' 1""",185.42,210.0,R
2,8476906,Shayne,Gostisbehere,USA,Pembroke Pines,D,1993-04-20 01:00:00,"5' 11""",180.34,180.0,L
3,8466285,Brian,Campbell,CAN,Strathroy,D,1979-05-23 01:00:00,"5' 10""",177.8,192.0,L
4,8470607,Brent,Seabrook,CAN,Richmond,D,1985-04-20 01:00:00,"6' 3""",190.5,220.0,R
5,8474668,Dale,Weise,CAN,Winnipeg,RW,1988-08-05 01:00:00,"6' 2""",187.96,206.0,R
6,8473512,Claude,Giroux,CAN,Hearst,C,1988-01-12 00:00:00,"5' 11""",180.34,185.0,R
7,8470645,Corey,Crawford,CAN,Montreal,G,1984-12-31 00:00:00,"6' 2""",187.96,216.0,L
8,8476994,Vinnie,Hinostroza,USA,Chicago,LW,1994-04-03 01:00:00,"5' 9""",175.26,173.0,R
9,8475323,Marcus,Kruger,SWE,Stockholm,C,1990-05-27 01:00:00,"6' 0""",182.88,186.0,L
10,8473584,Andrew,MacDonald,CAN,Judique,D,1986-09-07 01:00:00,"6' 1""",185.42,204.0,L
11,8478055,Gustav,Forsling,SWE,Linkoping,D,1996-06-12 01:00:00,"6' 0""",182.88,186.0,L
12,8478550,Artemi,Panarin,RUS,Korkino,LW,1991-10-30 00:00:00,"5' 11""",180.34,168.0,R
13,8476177,Matt,Read,CAN,Ilderton,RW,1986-06-14 01:00:00,"5' 10""",177.8,185.0,R
14,8473461,Steve,Mason,CAN,Oakville,G,1988-05-29 01:00:00,"6' 4""",193.04,210.0,R
15,8475462,Radko,Gudas,CZE,Prague,D,1990-06-05 01:00:00,"6' 0""",182.88,204.0,R
16,8476393,Nick,Cousins,CAN,Belleville,C,1993-07-20 01:00:00,"5' 11""",180.34,185.0,L
17,8479482,Michal,Kempny,CZE,Hodonin,D,1990-09-08 01:00:00,"6' 0""",182.88,194.0,L
18,8469547,Jordin,Tootoo,CAN,Churchill,RW,1983-02-02 00:00:00,"5' 9""",175.26,195.0,R
19,8474190,Wayne,Simmonds,CAN,Scarborough,RW,1988-08-26 01:00:00,"6' 2""",187.96,185.0,R
20,8468513,Nick,Schultz,CAN,Strasbourg,D,1982-08-25 01:00:00,"6' 1""",185.42,203.0,L
21,8473607,Michal,Neuvirth,CZE,Ústí nad Labem,G,1988-03-23 00:00:00,"6' 1""",185.42,209.0,L
22,8471769,Niklas,Hjalmarsson,SWE,Eksjo,D,1987-06-06 01:00:00,"6' 3""",190.5,197.0,L
23,8477929,Dennis,Rasmussen,SWE,Vasteras,C,1990-07-03 01:00:00,"6' 3""",190.5,192.0,L
24,8471762,Chris,VandeVelde,USA,Moorhead,C,1987-03-15 00:00:00,"6' 2""",187.96,190.0,L
25,8475209,Richard,Panik,SVK,Martin,RW,1991-02-07 00:00:00,"6' 1""",185.42,208.0,L
26,8473604,Jonathan,Toews,CAN,Winnipeg,C,1988-04-29 01:00:00,"6' 2""",187.96,201.0,L
27,8478439,Travis,Konecny,CAN,London,C,1997-03-11 00:00:00,"5' 10""",177.8,175.0,R
28,8479648,Roman,Lyubimov,RUS,Tver,LW,1992-01-06 00:00:00,"6' 2""",187.96,207.0,R
29,8470159,Boyd,Gordon,CAN,Unity,C,1983-10-19 01:00:00,"6' 0""",182.88,200.0,R
30,8477845,Trevor,van Riemsdyk,USA,Middletown,D,1991-07-24 01:00:00,"6' 2""",187.96,188.0,R
31,8478500,Ivan,Provorov,RUS,Yaroslavl,D,1997-01-13 00:00:00,"6' 1""",185.42,201.0,L
32,8475430,Brandon,Manning,CAN,Prince George,D,1990-06-04 01:00:00,"6' 1""",185.42,205.0,L
33,8470281,Duncan,Keith,CAN,Winnipeg,D,1983-07-16 01:00:00,"6' 1""",185.42,192.0,L
34,8474141,Patrick,Kane,USA,Buffalo,RW,1988-11-19 00:00:00,"5' 11""",180.34,177.0,L
35,8477930,Pierre-Edouard,Bellemare,FRA,Le Blanc-Mesnil,LW,1985-03-06 00:00:00,"6' 0""",182.88,198.0,L
36,8474161,Jakub,Voracek,CZE,Kladno,RW,1989-08-15 01:00:00,"6' 2""",187.96,214.0,L
37,8477951,Nick,Schmaltz,USA,Madison,C,1996-02-23 00:00:00,"6' 0""",182.88,177.0,R
38,8477451,Ryan,Hartman,USA,Hilton Head Isl.,RW,1994-09-20 01:00:00,"6' 0""",182.88,181.0,R
39,8476461,Sean,Couturier,CAN,Phoenix,C,1992-12-07 00:00:00,"6' 3""",190.5,211.0,L
40,8473573,Artem,Anisimov,RUS,Yaroslavl,C,1988-05-24 01:00:00,"6' 4""",193.04,198.0,L
41,8477353,Tyler,Motte,USA,St. Clair,C,1995-03-10 00:00:00,"5' 10""",177.8,191.0,L
42,8475170,Brayden,Schenn,CAN,Saskatoon,C,1991-08-22 01:00:00,"6' 1""",185.42,200.0,L
43,8468309,Mark,Streit,CHE,Bern,D,1977-12-11 00:00:00,"5' 11""",180.34,186.0,L
44,8477290,Michael,Raffl,AUT,Villach,LW,1988-12-01 00:00:00,"6' 0""",182.88,200.0,L
45,8476806,J.T.,Brown,USA,Burnsville,RW,1990-07-02 01:00:00,"5' 10""",177.8,169.0,R
46,8471678,Benoit,Pouliot,CAN,Alfred,LW,1986-09-29 01:00:00,"6' 3""",190.5,200.0,L
47,8475215,Robin,Lehner,SWE,Gothenburg,G,1991-07-24 01:00:00,"6' 4""",193.04,245.0,L
48,8476866,Nicolas,Kerdiles,USA,Lewisville,LW,1994-01-11 00:00:00,"6' 2""",187.96,200.0,L
49,8471699,Andrew,Cogliano,CAN,Toronto,LW,1987-06-14 01:00:00,"5' 10""",177.8,177.0,L
50,8470621,Corey,Perry,CAN,Peterborough,RW,1985-05-16 01:00:00,"6' 3""",190.5,213.0,R
51,8477933,Sam,Reinhart,CAN,West Vancouver,C,1995-11-06 00:00:00,"6' 1""",185.42,192.0,R
52,8470324,Josh,Gorges,CAN,Kelowna,D,1984-08-14 01:00:00,"6' 1""",185.42,204.0,L
53,8477941,Nick,Ritchie,CAN,Orangeville,LW,1995-12-05 00:00:00,"6' 2""",187.96,234.0,L
54,8476312,Josh,Manson,CAN,Hinsdale,D,1991-10-07 01:00:00,"6' 3""",190.5,213.0,R
55,8475169,Evander,Kane,CAN,Vancouver,LW,1991-08-02 01:00:00,"6' 2""",187.96,212.0,L
56,8479268,Casey,Nelson,USA,Wisconsin Rapids,D,1992-07-18 01:00:00,"6' 1""",185.42,185.0,R
57,8475185,Jacob,Josefson,SWE,Stockholm,C,1991-03-02 00:00:00,"6' 0""",182.88,196.0,L
58,8475780,Chris,Wagner,USA,Walpole,RW,1991-05-27 01:00:00,"6' 0""",182.88,198.0,R
59,8475164,Jakob,Silfverberg,SWE,Gävle,RW,1990-10-13 01:00:00,"6' 2""",187.96,202.0,R
60,8473560,Korbinian,Holzer,DEU,Munich,D,1988-02-16 00:00:00,"6' 3""",190.5,214.0,R
61,8478131,Ondrej,Kase,CZE,Kadan,RW,1995-11-08 00:00:00,"6' 0""",182.88,185.0,R
62,8476293,Scott,Wilson,CAN,Oakville,C,1992-04-24 01:00:00,"5' 11""",180.34,183.0,L
63,8476470,Nathan,Beaulieu,CAN,Strathroy,D,1992-12-05 00:00:00,"6' 2""",187.96,200.0,L
64,8470616,Ryan,Kesler,USA,Livonia,C,1984-08-31 01:00:00,"6' 2""",187.96,202.0,R
65,8468535,Antoine,Vermette,CAN,St. Agapit,C,1982-07-20 01:00:00,"6' 1""",185.42,197.0,L
66,8469506,Jason,Pominville,USA,Repentigny,RW,1982-11-30 00:00:00,"6' 0""",182.88,180.0,R
67,8467400,Francois,Beauchemin,CAN,Sorel,D,1980-06-04 01:00:00,"5' 11""",180.34,208.0,L
68,8475728,Johan,Larsson,SWE,Lau,C,1992-07-25 01:00:00,"5' 11""",180.34,198.0,L
69,8474618,Marco,Scandella,CAN,Montreal,D,1990-02-23 00:00:00,"6' 3""",190.5,208.0,L
70,8468011,Ryan,Miller,USA,East Lansing,G,1980-07-17 01:00:00,"6' 3""",190.5,173.0,L
71,8475764,Cam,Fowler,USA,Windsor,D,1991-12-05 00:00:00,"6' 1""",185.42,215.0,L
72,8470612,Ryan,Getzlaf,CAN,Regina,C,1985-05-10 01:00:00,"6' 4""",193.04,223.0,R
73,8477986,Brandon,Montour,CAN,Brantford,D,1994-04-11 01:00:00,"6' 0""",182.88,192.0,R
74,8476854,Hampus,Lindholm,SWE,Helsingborg,D,1994-01-20 00:00:00,"6' 3""",190.5,208.0,L
75,8475325,Jordan,Nolan,CAN,"Garden River, First Nations",C,1989-06-23 01:00:00,"6' 3""",190.5,219.0,L
76,8476931,Jake,McCabe,USA,Eau Claire,D,1993-10-12 01:00:00,"6' 1""",185.42,210.0,L
77,8473449,Kyle,Okposo,USA,St. Paul,RW,1988-04-16 01:00:00,"6' 0""",182.88,220.0,R
78,8476878,Zemgus,Girgensons,LVA,Riga,C,1994-01-05 00:00:00,"6' 2""",187.96,207.0,L
79,8477499,Rasmus,Ristolainen,FIN,Turku,D,1994-10-27 00:00:00,"6' 4""",193.04,218.0,R
80,8479755,Victor,Antipin,RUS,Ust-Kamenogorsk,D,1992-12-06 00:00:00,"5' 11""",180.34,175.0,L
81,8474683,Derek,Grant,CAN,Abbotsford,C,1990-04-20 01:00:00,"6' 3""",190.5,215.0,L
82,8478403,Jack,Eichel,USA,North Chelmsford,C,1996-10-28 00:00:00,"6' 2""",187.96,206.0,R
83,8474641,Adam,Henrique,CAN,Brantford,C,1990-02-06 00:00:00,"6' 0""",182.88,195.0,L
84,8475158,Ryan,O'Reilly,CAN,Clinton,C,1991-02-07 00:00:00,"6' 1""",185.42,216.0,L
85,8473992,Justin,Falk,CAN,Snowflake,D,1988-10-11 01:00:00,"6' 5""",195.58,223.0,L
86,8476483,Rickard,Rakell,SWE,Sundbyberg,C,1993-05-05 01:00:00,"6' 2""",187.96,198.0,R
87,8478542,Evan,Rodrigues,CAN,Toronto,LW,1993-07-28 01:00:00,"5' 11""",180.34,182.0,R
88,8469598,Kevin,Bieksa,CAN,Grimsby,D,1981-06-16 01:00:00,"6' 1""",185.42,197.0,R
89,8473618,Mathieu,Perreault,CAN,Drummondville,C,1988-01-05 00:00:00,"5' 10""",177.8,188.0,L
90,8471218,Blake,Wheeler,USA,Plymouth,RW,1986-08-31 01:00:00,"6' 5""",195.58,225.0,R
91,8470828,Toby,Enstrom,SWE,Nordingra,D,1984-11-05 00:00:00,"5' 10""",177.8,180.0,L
92,8462042,Jarome,Iginla,CAN,Edmonton,RW,1977-07-01 01:00:00,"6' 1""",185.42,210.0,R
93,8473412,Bryan,Little,CAN,Edmonton,C,1987-11-12 00:00:00,"6' 0""",182.88,191.0,R
94,8475759,Brandon,Gormley,CAN,Murray River,D,1992-02-18 00:00:00,"6' 2""",187.96,196.0,L
95,8473575,Semyon,Varlamov,RUS,Samara,G,1988-04-27 01:00:00,"6' 2""",187.96,209.0,L
96,8471657,Cody,McLeod,CAN,Binscarth,LW,1984-06-26 01:00:00,"6' 2""",187.96,210.0,L
97,8471217,Andrew,Ladd,CAN,Maple Ridge,LW,1985-12-12 00:00:00,"6' 3""",190.5,200.0,L
98,8476469,Joel,Armia,FIN,Pori,RW,1993-05-31 01:00:00,"6' 3""",190.5,205.0,R
99,8474207,Nick,Holden,CAN,St. Albert,D,1987-05-15 01:00:00,"6' 4""",193.04,214.0,L
